name,genre,year
Down Home Girl,Country,1965
I Think It's Going to Rain Today,,1965
Party Line,,1966
Blessed,,1966
You Don't Know Like I Know,RnB,1966
The Big Bright Green Pleasure Machine,,1966
The Circle Game,Jazz,1966
I'm In Love Again,,1966
It Ain't Right,,1966
Rack My Mind,Rock,1966
The 59th Street Bridge Song,,1966
Witch Hunt,Jazz,1966
Tobacco Road,,1966
Anji,,1966
Four Women,Jazz,1966
Another Man,,1966
Anyone Who Knows What Love Is (Will Understand),RnB,1966
It Takes Two,,1966
Just Like a Woman,,1966
Hurdy Gurdy Man,,1966
Key To Love,,1966
Chauffeur Blues,Rock,1966
Evil Hoodoo,Rock,1966
Turn Into Earth,Rock,1966
Going Home,,1966
Dedicated To The One I Love,,1966
Talkin' 'Bout You,Rock,1966
I Am a Rock,,1966
Toad,,1966
Wowie Zowie,,1966
Hang on to Your Ego,Rock,1966
The Way I Feel Inside,,1966
Pledging My Time,,1966
I'm Not Satisfied,,1966
I Am Waiting,,1966
Spoonful,,1966
Lady Jane,,1966
Four Until Late,,1966
Absolutely Sweet Marie,Rock,1966
Under My Thumb,,1966
Dandy,Rock,1966
The Ox,,1966
Too Much On My Mind,Rock,1966
You Baby,,1966
Homeward Bound,Rock,1966
Rainy Day In June,Rock,1966
I'm Not Like Everybody Else,,1966
It Can't Happen Here,,1966
It's Not Easy,Pop,1966
Much Too Much,,1966
I'll Remember,,1966
Celeste,,1966
Strawberry Fields Forever,,1967
Afternoon Tea,Rock,1967
On With The Show,,1967
Medac,Rock,1967
The Wicked Messenger,Country,1967
Evening,RnB,1967
Wind Chimes,,1967
Autumn's Child,Folk,1967
The Crystal Ship,,1967
There She Goes Again,Rock,1967
Odorono,Rock,1967
Detroit City,Country,1967
The Girl from Ipanema,,1967
Shifting Sands,Rock,1967
Pleasant Street,,1967
Call On Me,,1967
Dropout Boogie,Rock,1967
Moonlight Drive,,1967
Up From The Skies,,1967
Dear Landlord,Rock,1967
Sleep to Dream,RnB,1967
You Got Me Floatin',,1967
To Sir With Love,,1967
Miss Amanda Jones,Rock,1967
Within You Without You,,1967
There Is a War,,1967
Leaving Green Sleeves,Folk,1967
When I'm Sixty-Four,,1967
Heinz Baked Beans,Rock,1967
Ruby Tuesday,,1967
Back Door Man,,1967
I Threw It All Away,,1967
Wear Your Love Like Heaven,Rock,1967
Sing This All Together (See What Happens),Rock,1967
Winter Lady,Folk,1967
Kansas City,,1967
Yesterday's Papers,Rock,1967
She Smiled Sweetly,,1967
All Tomorrow's Parties,,1967
Mother's Lament,Rock,1967
Wrap Your Troubles in Dreams,,1967
(I Know) I'm Losing You,,1967
Down Along the Cove,,1967
Personal Manager,,1967
Sing This All Together,Rock,1967
Master Song,Folk,1967
Two Sisters,Folk,1967
Something Happened to Me Yesterday,,1967
With a Little Help from My Friends,,1967
Love Me Till The Sun Shines,Rock,1967
Blue Condition,,1967
Água de Beber,,1967
You Set the Scene,Rock,1967
Live and Let Live,Rock,1967
Flaming,,1967
How Do You Feel,Pop,1967
Stone Free,,1967
If 6 Was 9,,1967
The Morning: Another Morning,,1967
2000 Light Years From Home,,1967
My Back Pages,,1967
Women Is Losers,Rock,1967
Flower Pot,,1967
Matilda Mother,Rock,1967
Section 43,Rock,1967
Love You Till Tuesday,,1967
Eulogy to Lenny Bruce,,1967
Down by the Water,Rock,1967
The Red Telephone,Rock,1967
The Lantern,,1967
Two Heads,,1967
David Watts,Rock,1967
European Son,,1967
When You're Young And In Love,RnB,1967
When I Live My Dream,Rock,1967
Lucifer Sam,Rock,1967
End of the Night,Rock,1967
I'm Glad,Pop,1967
Sunshine of Your Love,,1967
Mr. Soul,Rock,1967
Citadel,,1967
One Rainy Wish,Rock,1967
2000 Man,,1967
The Gnome,Rock,1967
Just Like Tom Thumb's Blues,Rock,1967
Outside Woman Blues,,1967
I'll Be Your Baby Tonight,,1967
May This Be Love,Rock,1967
Chapter 24,,1967
Bonnie and Clyde,,1968
Why Are We Sleeping?,Rock,1968
One Good Man,,1968
Salt Of The Earth,,1968
Velvet Cave,,1968
Turtle Blues,,1968
Crystal Blue Persuasion,Reggae,1968
A Rose for Emily,,1968
Porterville,,1968
Buried Alive in the Blues,Blues,1968
Take Another Little Piece Of My Heart,,1968
On Tomorrow,,1968
Fun,,1968
Walking on the Water,,1968
Comic Strip,,1968
Shield,,1968
Jigsaw Puzzle,,1968
"Rainy Day, Dream Away",,1968
Sweet Thing,,1968
Call It Pretending,Rock,1968
Program,,1968
Your Hidden Dreams,,1968
Gypsy Eyes,,1968
Ugly Beauty,,1968
Picture Book,,1968
Teenie Weenie Boppie,,1968
"Oh, Sweet Mary",Rock,1968
Lovefingers,,1968
Love Without Sound,Rock,1968
Help,,1968
Stray Cat Blues,,1968
Thank You (Falettinme Be Mice Elf Agin),RnB,1968
Sitting On Top Of The World,Rock,1968
Parachute Woman,,1968
Whirly-Bird,,1968
The Gift,,1968
Come On Now,,1968
Move Over,Rock,1968
Long Hot Summer Night,,1968
I Want To Go Home,Rock,1968
See-Saw,Rock,1968
Holy Are You,Rap,1968
Maybe,,1968
Magic Carpet Ride,,1968
I Have Known Love,,1968
Lost Inside Of You,,1968
Factory Girl,Pop,1968
A Saucerful of Secrets,Rock,1968
Lady Godiva's Operation,,1968
This Will Be Our Year,,1968
Get Down Woman,Rock,1968
Firebird,Metal,1968
Politician,Reggae,1968
Ave Gengis Khan,,1968
I Can't Stand It,Reggae,1968
Best Of Both Worlds,Country,1968
Safe As Milk,Rock,1968
Senhor F,Rock,1968
"Don't Step On The Grass, Sam",,1968
Big Sky,,1968
Long Grey Mare,,1968
Life In Prison,,1968
Spinning Wheel,,1968
Fantasies,Rock,1968
Looking For Somebody,,1968
People Take Pictures of Each Other,Rock,1968
Wicked Annabella,Rock,1968
I Am A Child,,1968
Blue Canadian Rockies,Country,1968
I Loved Another Woman,,1968
Holy Thursday,Jazz,1968
Stoned Soul Picnic,,1968
Ballerina,,1968
Kandy Korn,Rock,1968
25 Minutes to Go,,1968
You're Not Foolin' Me,,1968
Oscillations,Rock,1968
Seagreen Serenades,Rock,1968
Blowin' In The Wind,,1968
When You Got A Good Friend,,1969
The First Time Ever I Saw Your Face,,1969
Suite: Judy Blue Eyes,Rock,1969
Memory Pain,,1969
Underture,Rock,1969
Columbine,,1969
Epistle to Dippy,,1969
Jigsaw Puzzle Blues,,1969
Black Mountain Side,,1969
Yèkèrmo sèw,Jazz,1969
The Seventh Seal,Rock,1969
Shades of Time,,1969
Lady Midnight,,1969
Lalena,,1969
St. John the Gambler,,1969
It Hurts Me Too,,1969
You Never Give Me Your Money,,1969
When Something Is Wrong With My Baby,,1969
Let It Bleed,,1969
Sea Of Joy,Rock,1969
Go And Say Goodbye,,1969
Yoo Doo Right,,1969
Midnight Rambler,,1969
Little Bit of Rain,Folk,1969
Feelin' Blue,Pop,1969
Be Careful With a Fool,Blues,1969
Willie the Pimp,,1969
Quicksilver,,1969
What Goes On,,1969
Buzzin' Fly,,1969
I'm Free,Rock,1969
Main Theme,,1969
Savor,,1969
Candy Says,,1969
Tonight Will Be Fine,,1969
The Old Revolution,,1969
Bring It on Home,Blues,1969
Kind Woman,,1969
Heartbreaker,,1969
I Love the Night,,1969
April,,1969
Had To Cry Today,Blues,1969
Fully Booked,,1969
Jesus,,1969
Sophisticated Cissy,RnB,1969
Contemporary Chick Con Song,Rock,1969
Si Tu Dois Partir,,1969
My Whole World Ended (The Moment You Left Me),,1969
Moby Dick,Reggae,1969
The Farm,,1969
Love in Vain,,1969
Carnaval,,1969
Wooden Ships,Rock,1969
30 Century Man,Rock,1969
Volunteers,Rock,1969
Christmas,,1969
Marrakesh Express,,1969
Starship,,1969
Love's Been Good To Me,,1969
Streets of London,,1969
Fiddle About,Rock,1969
Some Kinda Love,Rock,1969
Hang On To A Dream,,1969
Gypsy Love,,1969
"Seems So Long Ago, Nancy",Folk,1969
Cross-Tie Walker,Rock,1969
Weighted Down (The Prison Song),,1969
1921,Rock,1969
Do What You Like,Rock,1969
You Shook Me,,1969
Not Right,,1969
Project X,Metal,1969
Good Times Bad Times,,1969
Copenhagen,Pop,1969
Sensation,,1969
You Know Who I Am,Folk,1969
Can't Find My Way Home,Folk,1969
Nowadays Clancy Can't Even Sing,,1969
Smash the Mirror,,1969
It's Raining Today,,1969
Tell Me That It Isn't True,Folk,1969
Forty Thousand Headmen,,1969
Yama Yama,,1969
On The Way Home,,1969
The World's Strongest Man,,1969
Your Time Is Gonna Come,Reggae,1969
Bluebird,,1969
Can't Seem To Make You Mine,Rock,1969
Commotion,,1969
Whole Lotta Love,,1969
Beginning To See The Light,,1969
For The Sake of The Song,Folk,1969
I Can't Quit You Baby,Reggae,1969
The Lemon Song,Electronic,1969
Bryter Layter,Folk,1970
Post War Saturday Echo,Rock,1970
Stagnation,,1970
Thorn Tree in the Garden,,1970
It Is Obvious,Rock,1970
Beware of Darkness,Rock,1970
Looking For Someone,Rock,1970
No Good Trying,Rock,1970
Here I Go,,1970
Almost Cut My Hair,Rock,1970
Sleeping Village,Electronic,1970
Tank,Rock,1970
Harlequin,,1970
All The Tired Horses,,1970
Rude Awakening #2,Rock,1970
Message To Love,,1970
Operator,,1970
You're Still on My Mind,,1970
Keep on Growing,Rock,1970
My Sweet Lord (2000),Rock,1970
The Man In Me,,1970
Gotta Serve Somebody,Blues,1970
Plug Me In,,1970
Fat Old Sun,,1970
I Believe to My Soul,,1970
Dusk,,1970
Hazey Jane II,Folk,1970
Skinhead Girl,Reggae,1970
One of These Things First,,1970
Sailor's Lament,Rock,1970
Blues Power,,1970
My Sweet Lord,,1970
Glow Worms,,1970
Anyday,,1970
Bitches Brew,,1970
Winter Is Blue,,1970
Indian Summer,Jazz,1970
Hazey Jane I,Folk,1970
I Am Yours,,1970
Lonesome Suzie,,1970
Fairies Wear Boots,,1970
He's A Runner,,1970
Blue Sunday,,1970
Ready For Love,,1970
Gallows Pole,Blues,1970
El Triste,Latin,1970
4 + 20,Rock,1970
Sunny Skies,RnB,1970
That's the Way,,1970
Greasy Heart,,1970
Fun House,,1970
I Looked Away,Rock,1970
Long Gone,,1970
Suzanne,,1970
N.I.B.,,1970
Frankenstein,Jazz,1970
Born To Move,Rock,1970
"Oh, Lonesome Me",Country,1970
Hope You're Feeling Better,Rock,1970
L.A. Blues,,1970
Everybody I Love You,Rock,1970
Wigwam,,1970
Bron-Y-Aur Stomp,,1970
Brokedown Palace,,1970
Tangerine,,1970
You Ain't Goin' Nowhere,Folk,1970
I Live for You,,1970
Planet Caravan,,1970
Deja Vu,Jazz,1970
Come Running,Pop,1970
Hickory Wind,,1970
Octopus,,1970
Time Passes Slowly,,1970
Lily Pond,,1970
Baby Driver,Folk,1970
1970,,1970
This Time Tomorrow,,1970
Pagan Baby,Rock,1970
The Barbarian,Rock,1970
Mr. Spaceman,,1970
For Free,,1970
Let It Down,Rock,1970
Take Me To The Pilot,,1970
Mother's Daughter,,1970
Friends,Folk,1970
Molina,Rock,1970
Cerberus,,1970
You Gotta Move,,1970
Skinhead Moonstomp,,1970
Mozambique,Rock,1970
The Three Fates,,1970
Street Fighting Man,Rock,1970
Half Moon,,1970
Hey Boy,,1970
Precious Angel,,1970
Alucard,Rock,1970
Cumberland Blues,,1970
Ripple,,1970
One More Weekend,Rock,1970
Le Goudron,,1970
We Gotta Live Together,Rock,1970
Gigolo Aunt,,1970
Killer,,1970
Funny Ways,Rock,1970
The Other Side of Town,,1970
Lo and Behold,Rock,1970
Backdoor Love Affair,Rock,1970
Deadlock,,1970
Too Busy Thinking About My Baby,,1970
Take A Pebble,,1970
The Knife,,1970
That's The Way Love Is,,1970
Hard Lovin' Man,Rock,1970
No Man's Land,,1970
Little Green,,1971
Never Can Say Goodbye,,1971
Mama's Pearl,RnB,1971
Cordão,,1971
Till Tomorrow,,1971
Levon,Rock,1971
Happy Jack,Rock,1971
Solitude,,1971
My God,,1971
After Forever,Metal,1971
Ice Cold Daydream,RnB,1971
Interstellar Overdrive,Rock,1971
Lady Day and John Coltrane,,1971
Children of the Grave,,1971
Gimme Shelter,,1971
Where You Lead,,1971
A Lotus on Irish Streams,Jazz,1971
The Return of the Giant Hogweed,,1971
Edge Of Twilight,Rock,1971
God's Children,Rock,1971
Pantagruel's Nativity,Rock,1971
Black Dog,,1971
Bargain,Rock,1971
Mushroom,Reggae,1971
Play With Fire,,1971
Famous Blue Raincoat,,1971
Mambo Sun,,1971
(You Make Me Feel Like) A Natural Woman,Pop,1971
The Sage,,1971
Or Down You Fall,RnB,1971
Crawling King Snake,,1971
Sister Morphine,Rock,1971
Smackwater Jack,,1971
The Battle of Evermore,,1971
Echoes,,1971
Somebody's Watching You,RnB,1971
Pancho And Lefty,Country,1971
It's Too Late,,1971
Power Of Love,,1971
Diamonds in the Mine,,1971
Olha Maria,,1971
Will You Love Me Tomorrow?,,1971
Dress Rehearsal Rag,Folk,1971
Won't Get Fooled Again,,1971
Arnold Layne,Rock,1971
Baby Won't You Let Me Rock 'N' Roll You,Rock,1971
Paint It Black,,1971
Four Sticks,Electronic,1971
Biding My Time,,1971
Moonlight Mile,Rock,1971
The Wedding Of The Lamb,Rock,1971
En Melody,,1971
Avalanche,,1971
Last Year's Man,Folk,1971
Get It While You Can,,1971
This Flight Tonight,Rock,1971
River,,1971
Lucia,,1971
Un Giudice,,1971
Halo of Flies,,1971
Dead Flowers,,1971
Lovergirl,,1971
Orchid,,1971
Right On,,1971
Way Over Yonder,,1971
Rumba Mama,,1971
Wholy Holy,,1971
Tarkus,,1971
Razor Face,,1971
"You Know, You Know",,1971
Pizzicato Polka,,1971
Let's Spend the Night Together,Rock,1971
Vital Transformation,Jazz,1971
When the Levee Breaks,,1971
"Sing Another Song, Boys",Folk,1971
Bike,,1971
Too Much of Anything,Rock,1971
Turn That Heartbeat Over Again,Rock,1972
Out Of Time,Rock,1972
Loving Cup,,1972
Short People,,1972
Song of Love,,1972
Pinch,,1972
Heart of Gold,,1972
Boy Blue,Pop,1972
Cornucopia,,1972
Shake Your Hips,,1972
Burning Bridges,Rock,1972
Hallogallo,Rock,1972
Blue Sky,,1972
Im Glück,,1972
Let It Loose,Rock,1972
It Wouldn't Have Made Any Difference,,1972
Run To Me,,1972
Soul Survivor,,1972
New York Telephone Conversation,,1972
Transmaniacon MC,Rock,1972
Jamaica Say You Will,,1972
Sitting In Limbo,,1972
Let's Stay Together,RnB,1972
Little Bit Of Love,,1972
Alabama,,1972
Sweet Caroline,,1972
These Are The Days,Rock,1972
Supernaut,Metal,1972
Three Friends,Rock,1972
The Ballad Of El Goodo,Rock,1972
Black Satin,,1972
Tomorrow's Dream,RnB,1972
Triste Bahia,,1972
Wagon Wheel,,1972
Knots,Rock,1972
Hangin' 'Round,Rock,1972
Lonesome Crow,Rock,1972
Get Up and Dance,RnB,1972
We Love You,,1972
Balada Do Louco,,1972
Late in the Evening,,1972
Trilogy,,1972
Are You Ready for the Country?,Rock,1972
You Wear It Well,RnB,1972
Mr. Farmer,Rock,1972
Break on Through (to the Other Side),,1972
Um Gosto De Sol,,1972
Turn To Stone,,1972
Shaman's Blues,,1972
Rip This Joint,,1972
Never More,Rock,1972
Don't Lie To Me,,1972
O Mio Babbino Caro from Gianni Schicchi,,1972
The Grand Tour,,1972
Wheels Of Confusion/The Straightener,Metal,1972
Stop Breaking Down,,1972
Free Ride,Rock,1972
Hoochie Koochie Lady,Rock,1972
Sweet Virginia,Rock,1972
Don't Go To Strangers,,1972
Sweet Black Angel,,1972
Big Rock Candy Mountain,,1972
Aristocracy,Rock,1972
Good Rockin',Rock,1972
No Expectations,,1972
Time Was,,1972
Back Home Again,Country,1972
Casino Boogie,Rock,1972
Back Stabbers,,1972
Snowblind,,1972
Dog's Life,,1972
Laguna Sunrise,Metal,1972
Cover Of The Rolling Stone,,1972
Hello Mary Lou,,1972
Perfect Day,Pop,1972
St. Vitus Dance,,1972
Per Un Amico,Rock,1972
Pictures of Home,Rock,1972
Stairway to the Stars,,1972
Driving Song,,1972
Living Sin,,1972
Leave Me,Electronic,1972
Maybe Your Baby,,1972
It's All Over Now,,1972
Ship of Fools,,1972
Brandy,,1972
(You Caught Me) Smilin',RnB,1973
Take The Money And Run,,1973
O Vira,,1973
It's a Bit of a Pain,,1973
Sangue Latino,,1973
Born To Be Blue,,1973
Glad and Sorry,Rock,1973
Mama Told Me Not To Come,,1973
Spray,Electronic,1973
Jungle Love,,1973
I've Had Enough,,1973
She Cracked,,1973
Runnin' Away,RnB,1973
Tenth Avenue Freeze-Out,,1973
The Rock,,1973
Philadelphia Freedom,,1973
The Ballad of John and Yoko,,1973
Star Star,Rock,1973
The Ocean,,1973
Sea and Sand,Jazz,1973
Over the Hills and Far Away,Rock,1973
Cry Baby,,1973
Speak to Me,,1973
Dancing Days,,1973
Time Tough,,1973
When The Earth Moves Again,Rock,1973
Graham Greene,Rock,1973
Rosie,Rock,1973
Us and Them,Electronic,1973
Drive All Night,,1973
Silver Train,,1973
Just To Keep You Satisfied,,1973
Super,Rock,1973
Dixie Chicken,,1973
No More No More,Electronic,1973
Roadrunner,Rock,1973
I'm One,Electronic,1973
A Hard Day's Night,,1973
Why Does Love Got to Be So Sad,,1973
Run Through the Jungle,,1973
Lines On My Face,,1973
Big Shot,Rock,1973
Spiral Architect,Metal,1973
Jelly Jelly,,1973
Still...You Turn Me On,,1973
Highway 61 Revisited,,1973
A National Acrobat,Metal,1973
Fluff,,1973
Dancing Machine,RnB,1973
King Of The World,Rock,1973
Sing A Simple Song,RnB,1973
100 Years Ago,,1973
Hide Your Love,Rock,1973
Toccata,,1973
Let It Ride,,1973
Cradle Rock,,1973
The Stealer,,1973
Go to Hell,,1973
The River,,1973
Adam's Apple,,1973
Please Stay (Once You Go Away),Rock,1973
Money,,1973
Hungry Heart,,1973
The Song Remains the Same,,1973
Gostava Tanto De Você,,1973
Mood for a Day,,1973
Thousand Island Park,Jazz,1973
Atlantic City,,1973
Celestial Terrestrial Commuters,Jazz,1973
Poet,Jazz,1973
Alu Jon Jonki Jon,,1973
As Andorinhas,,1973
Thank You For Talkin' To Me Africa,Jazz,1973
Movin' Out,,1973
Spirit in the Night,,1973
Rain Dance,Rock,1973
Cementerio Club,,1973
Rosalita (Come Out Tonight),,1973
Seasons of Wither,Rock,1973
Midnight Lullaby,,1973
Open All Night,Rock,1973
Glory Days,Pop,1973
Nebraska,Rock,1973
Tequila Sunrise,Rock,1973
Can't Hide Love,RnB,1973
Jennifer,,1973
Cut My Hair,Rock,1973
Brain Salad Surgery,Rock,1973
Smoke on the Water,,1973
More Fool Me,,1973
Who Are You?,Rock,1973
Vein Melter,Jazz,1973
Brain Damage,,1973
Don't You Worry 'Bout a Thing,,1973
Theme For An Imaginary Western,Rock,1973
The Sad Skinhead,,1973
Coming Down Again,Rock,1973
One Word,Jazz,1973
Someone I Care About,Rock,1973
The Real Me,,1973
Ritorno,,1973
Flaming Telepaths,Folk,1973
On the Run,Rock,1973
Too High,,1973
You May Be Right,,1973
When Will I See You Again,,1973
Sabbra Cadabra,Metal,1973
Pony Boy,Rock,1973
Let There Be Rock,,1974
Karn Evil 9,,1974
I Think I Love You,,1974
They Say I'm Different,RnB,1974
Just Kissed My Baby,Blues,1974
Broadway Melody of 1974,,1974
Ogre Battle,,1974
Anyway The Wind Blows,,1974
Goin' Blind,,1974
Shoo-B-Doop and Cop Him,RnB,1974
Love Bomb,Rock,1974
Take Me To The River,,1974
Persuasion,,1974
Ain't Too Proud To Beg,Jazz,1974
"It's Alright, Ma (I'm Only Bleeding)",,1974
Walk All Over You,,1974
Calling America,Rock,1974
Ohio,Rock,1974
Time Waits For No One,,1974
Looks Like We Made It,Pop,1974
Amateur Hour,Rock,1974
Soldier Of Fortune,,1974
Nautilus,,1974
The Wall Street Shuffle,Rock,1974
Baby Don't You Do It,,1974
It's My Own Fault,Blues,1974
You're a Big Girl Now,,1974
Come Monday,,1974
Talkin' Blues,Jazz,1974
The Lamb Lies Down on Broadway,,1974
Paper Thin Hotel,,1974
Jane,,1974
Dreamer,Electronic,1974
So Jah Seh,,1974
Sin City,,1974
Medo Da Chuva,,1974
Ride My See-Saw,Rock,1974
King Kong Song,,1974
Mitternacht,,1974
Funny How Love Is,,1974
Skylarking,Reggae,1974
The Way We Were,,1974
If That Ain't Country,Country,1974
Here Comes the Supernatural Anaesthetist,,1974
Still in Love With You,,1974
New Age,,1974
Phaedra,Electronic,1974
Longhaired Redneck,Country,1974
Boots,,1974
Lover's Cross,,1974
Bless You,Electronic,1974
Now I'm Here,Rock,1974
Veterano,,1974
Killer Queen,,1974
T.N.T.,,1974
Back Off Boogaloo,,1974
The Old Man And Me,,1974
Valley Of The Kings,,1974
Hell or High Water,,1974
Iodine,Folk,1974
Shot Down in Flames,,1974
Rudy,,1974
Secret Side,,1974
James Dean,,1974
Bloody Well Right,Rock,1974
Damned,,1974
Freefall,,1974
The Story In Your Eyes,,1974
"Depot, Depot",,1974
The Waiting Room,,1974
With A Gun,Rock,1974
Before and After,Rap,1974
Eldorado,,1974
Career of Evil,Rock,1974
You Forgot To Answer,Rock,1974
Rikki Don't Lose That Number,Rock,1974
Woodstock,,1974
Earthrise,,1974
S.O.S. (Too Bad),Rock,1974
Crime of the Century,Rock,1974
Spanish Moon,Blues,1974
Big Balls,Country,1974
Don't Ask Me No Questions,Rock,1974
"Bad, Bad Leroy Brown",,1974
Modlitwa,,1974
Über Den Wolken,,1974
Laredo Tornado,Rock,1974
Dear Friends,,1974
Can I Tell You,,1974
Is This What You Wanted,,1974
Life Is White,Rock,1974
If You Can't Rock Me,Rock,1974
Here Again,,1974
Hausmusik,Rock,1974
Procession,,1974
Pieces of a Man,RnB,1974
Slippery When Wet,RnB,1974
Albedo 0.39,,1975
Free Money,,1975
The Devil Game,Rock,1975
Spirits In The Night,,1975
Love Stinks,,1975
"You're the First, the Last, My Everything",,1975
The Hermit,Metal,1975
Break It Up,Rap,1975
Lady Of The Lake,Rock,1975
Good Company,,1975
Jungleland,Rock,1975
Fourth Interlude,,1975
Rhiannon,New Age,1975
Lucy In The Sky With Diamonds,,1975
City of New Orleans,Folk,1975
Ballad,New Age,1975
Whiskey Rock-A-Roller,,1975
Concierto De Aranjuez,Jazz,1975
Crazy Feeling,,1975
Am I Going Insane (Radio),,1975
Rock n Roll Nigger,Rock,1975
Go Down,,1975
The Temple of the King,Rock,1975
Redondo Beach,,1975
Rosalie,,1975
You Can't Always Get What You Want,,1975
Sweet Lady,Reggae,1975
Whiskey River,Rock,1975
Make It,,1975
Gloria: In Excelsis Deo,,1975
Night Flight,,1975
Dirty Deeds Done Dirt Cheap,,1975
Don't Start (Too Late),,1975
I Wanna Be Your Man,Rock,1975
After Eight,,1975
Down by the Seaside,,1975
Welcome to the Machine,,1975
Kashmir,,1975
Bang-A-Boomerang,Pop,1975
First Blood,,1975
Kimberly,,1975
Elegie,Jazz,1975
Hard Road To Travel,,1975
Top Of The Bill,Rock,1975
Cortez The Killer,,1975
Houses of the Holy,Rock,1975
Monday Morning,RnB,1975
Ruff Stuff,Rock,1975
Carefree Highway,Rock,1975
Air Blower,Rock,1975
Night Of The Thumpasorus Peoples,RnB,1975
Boogie Man,,1975
Wango Tango,Rock,1975
The Burning Sword of Capua,Rock,1975
Muffin Man,,1975
Thelonius,,1975
Long Distance Love,,1975
Time of the Preacher,Country,1975
One of These Nights,,1975
(Big) John Wayne Socks Psychology On The Jaw,Rock,1975
Träumerei,,1975
Problem Child,,1975
In My Time of Dying,,1975
The Marshall Plan,Rock,1975
Nightrider,Pop,1975
Railroad Song,Rock,1975
Easy Does It,Country,1975
World Turning,,1975
Bad Sneakers,,1975
Buckets of Rain,,1975
Back in Business,,1975
Doctor Wu,Rock,1975
Sing A Song,Rock,1975
Sweet Jesus,,1975
Black Ice,,1975
Cold Gin,Rock,1975
Chelsea Hotel #2,,1975
My Heroes Have Always Been Cowboys,Country,1975
The Devil Went Down to Georgia,,1975
Berceuse,Electronic,1975
Sisters of Mercy,,1975
Sonata VIII,,1975
Simple Twist of Fate,,1975
Unfunky UFO,RnB,1975
Someone Saved My Life Tonight,,1975
Transistor,,1975
Charley's Girl,Rock,1975
Shining Star,,1975
Ten Years Gone,Rock,1975
Landslide,Rock,1975
Mr. Tambourine Man,,1975
Day of the Eagle,,1975
Radioland,,1975
Send Her My Love,Rock,1975
Night,Electronic,1975
Self Portrait,,1975
Ride On,Rap,1975
"Baby, Please Don't Go",,1975
The Thrill of It All,,1975
Burnin' for You,Rock,1975
Best I Can,Rock,1975
